Format Version,1.23,Take Name,Take 2023-09-07 07.27.12 AM_007,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-09-07 08.23.15.163 A. M.,Capture Start Frame,453465,Total Frames in Take,2650,Total Exported Frames,2650,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1935,Unlabeled 1935,Unlabeled 1935,Unlabeled 1936,Unlabeled 1936,Unlabeled 1936
,ID,"CAD80","CAD80","CAD80","CAD10","CAD10","CAD10"
,,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
264,2.200000,0.003064,0.032582,0.013823,,,
265,2.208333,0.003058,0.032587,0.013828,,,
266,2.216667,0.003060,0.032589,0.013824,,,
267,2.225000,0.003058,0.032586,0.013825,,,
268,2.233333,0.003067,0.032580,0.013838,,,
269,2.241667,0.003062,0.032581,0.013832,,,
270,2.250000,0.003064,0.032584,0.013829,,,
271,2.258333,0.003057,0.032591,0.013831,,,
272,2.266667,0.003070,0.032589,0.013828,,,
273,2.275000,0.003079,0.032581,0.013830,,,
274,2.283333,0.003073,0.032576,0.013830,,,
275,2.291667,0.003066,0.032576,0.013833,,,
276,2.300000,0.003067,0.032606,0.013830,,,
277,2.308333,0.003075,0.032594,0.013823,,,
278,2.316667,0.003068,0.032592,0.013824,,,
279,2.325000,0.003065,0.032585,0.013818,,,
280,2.333333,0.003057,0.032584,0.013835,,,
281,2.341667,0.003068,0.032595,0.013832,,,
282,2.350000,0.003070,0.032599,0.013826,,,
283,2.358333,0.003071,0.032591,0.013824,,,
284,2.366667,0.003068,0.032583,0.013818,,,
285,2.375000,0.003058,0.032600,0.013830,,,
286,2.383333,0.003063,0.032606,0.013818,,,
287,2.391667,0.003064,0.032605,0.013821,,,
288,2.400000,0.003075,0.032583,0.013824,,,
289,2.408333,0.003078,0.032586,0.013824,,,
290,2.416667,0.003068,0.032582,0.013828,,,
291,2.425000,0.003062,0.032592,0.013836,,,
292,2.433333,0.003067,0.032587,0.013830,,,
