Format Version,1.23,Take Name,Take 2023-09-07 07.27.12 AM_006,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-09-07 08.17.27.226 A. M.,Capture Start Frame,411713,Total Frames in Take,5504,Total Exported Frames,5504,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1916,Unlabeled 1916,Unlabeled 1916,Unlabeled 1917,Unlabeled 1917,Unlabeled 1917,Unlabeled 1918,Unlabeled 1918,Unlabeled 1918,Unlabeled 1919,Unlabeled 1919,Unlabeled 1919,Unlabeled 1920,Unlabeled 1920,Unlabeled 1920,Unlabeled 1921,Unlabeled 1921,Unlabeled 1921,Unlabeled 1922,Unlabeled 1922,Unlabeled 1922,Unlabeled 1923,Unlabeled 1923,Unlabeled 1923
,ID,"CA740","CA740","CA740","CA6F0","CA6F0","CA6F0","CA750","CA750","CA750","CA760","CA760","CA760","CA6B0","CA6B0","CA6B0","CA770","CA770","CA770","CA780","CA780","CA780","CA7A0","CA7A0","CA7A0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
211,1.758333,-0.009196,0.032025,0.003619,,,,,,,,,,,,,,,,,,,,,
212,1.766667,-0.009204,0.032027,0.003614,,,,,,,,,,,,,,,,,,,,,
213,1.775000,-0.009213,0.032026,0.003617,,,,,,,,,,,,,,,,,,,,,
214,1.783333,-0.009216,0.032013,0.003620,,,,,,,,,,,,,,,,,,,,,
215,1.791667,-0.009200,0.032011,0.003615,,,,,,,,,,,,,,,,,,,,,
216,1.800000,-0.009195,0.032019,0.003615,,,,,,,,,,,,,,,,,,,,,
217,1.808333,-0.009203,0.032014,0.003612,,,,,,,,,,,,,,,,,,,,,
218,1.816667,-0.009212,0.032027,0.003603,,,,,,,,,,,,,,,,,,,,,
219,1.825000,-0.009220,0.032017,0.003617,,,,,,,,,,,,,,,,,,,,,
220,1.833333,-0.009211,0.032013,0.003618,,,,,,,,,,,,,,,,,,,,,
221,1.841667,-0.009203,0.032019,0.003611,,,,,,,,,,,,,,,,,,,,,
222,1.850000,-0.009203,0.032028,0.003615,,,,,,,,,,,,,,,,,,,,,
223,1.858333,-0.009210,0.032023,0.003611,,,,,,,,,,,,,,,,,,,,,
224,1.866667,-0.009208,0.032027,0.003615,,,,,,,,,,,,,,,,,,,,,
225,1.875000,-0.009216,0.032013,0.003615,,,,,,,,,,,,,,,,,,,,,
226,1.883333,-0.009199,0.032005,0.003613,,,,,,,,,,,,,,,,,,,,,
227,1.891667,-0.009197,0.032008,0.003620,,,,,,,,,,,,,,,,,,,,,
228,1.900000,-0.009204,0.032022,0.003612,,,,,,,,,,,,,,,,,,,,,
229,1.908333,-0.009219,0.032020,0.003618,,,,,,,,,,,,,,,,,,,,,
230,1.916667,-0.009219,0.032012,0.003619,,,,,,,,,,,,,,,,,,,,,
231,1.925000,-0.009207,0.032005,0.003617,,,,,,,,,,,,,,,,,,,,,
232,1.933333,-0.009202,0.032009,0.003618,,,,,,,,,,,,,,,,,,,,,
233,1.941667,-0.009207,0.032024,0.003616,,,,,,,,,,,,,,,,,,,,,
234,1.950000,-0.009212,0.032017,0.003615,,,,,,,,,,,,,,,,,,,,,
235,1.958333,-0.009217,0.032019,0.003616,,,,,,,,,,,,,,,,,,,,,
236,1.966667,-0.009204,0.032017,0.003616,,,,,,,,,,,,,,,,,,,,,
237,1.975000,-0.009206,0.032007,0.003611,,,,,,,,,,,,,,,,,,,,,
238,1.983333,-0.009199,0.032013,0.003619,,,,,,,,,,,,,,,,,,,,,
239,1.991667,-0.009202,0.032016,0.003622,,,,,,,,,,,,,,,,,,,,,
240,2.000000,-0.009218,0.032024,0.003620,,,,,,,,,,,,,,,,,,,,,
241,2.008333,-0.009215,0.032007,0.003624,,,,,,,,,,,,,,,,,,,,,
242,2.016667,-0.009211,0.032010,0.003619,,,,,,,,,,,,,,,,,,,,,
243,2.025000,-0.009205,0.032014,0.003616,,,,,,,,,,,,,,,,,,,,,
244,2.033333,-0.009204,0.032018,0.003619,,,,,,,,,,,,,,,,,,,,,
245,2.041667,-0.009208,0.032012,0.003616,,,,,,,,,,,,,,,,,,,,,
246,2.050000,-0.009212,0.032014,0.003614,,,,,,,,,,,,,,,,,,,,,
